Start time	End time	Description
3.80	4.90	101
9.97	10.23	9
10.23	11.03	16A
16.30	17.13	6
17.97	26.23	101
32.23	32.47	7
32.47	42.23	101
47.27	53.90	12
66.13	70.17	11
77.00	86.20	1
94.27	97.77	1A
102.40	106.27	2
111.57	117.17	1
120.17	123.80	106
133.87	136.37	106
136.40	143.30	7
151.93	153.20	102A
153.23	157.10	102A
163.57	175.83	1A
187.30	193.50	107
200.73	205.07	107
209.50	214.07	1A
219.53	224.27	11
229.40	236.63	12
243.10	247.17	16B
250.80	258.67	6
262.83	274.57	1
279.73	283.67	106
291.30	298.27	106
308.67	313.30	106
321.70	323.80	106
324.83	327.47	104
327.50	328.30	104A
329.97	333.00	104
333.03	339.70	104A
339.73	341.73	104
345.77	347.73	105
349.00	352.80	105
358.03	359.10	106
368.13	373.37	104
373.40	374.60	104A
380.33	382.63	104
382.67	385.50	104A
392.43	393.70	104
398.50	400.30	105
401.43	403.03	105
412.13	415.17	106
419.43	422.63	107
425.63	428.60	108
428.63	430.93	15
436.23	438.63	16
441.73	446.57	1
451.40	457.73	1
463.13	468.97	1
475.27	487.33	16
492.43	500.33	6
510.63	520.33	16A
525.37	533.10	16A
540.87	558.77	16
565.63	572.60	6
582.70	588.23	102
595.93	602.13	16
615.17	620.40	1
625.80	627.37	13
633.63	638.23	11
640.47	647.17	14
647.60	678.97	8
679.40	682.40	14
657.00	662.90	12
672.03	675.60	12
691.03	703.17	103
710.63	720.37	3
738.10	749.73	1
